FINANCIAL TIMES
Date|n_sources|Home|World|Middle-East War|Markets|Private Markets|Bonds|Technology|Title|Summary|Link
46160|2|0|0|0|1|0|0|1|Anthropic to brief global financial watchdog on cyber flaws exposed by Mythos|US tech group will discuss capabilities of its new AI model with members of the Financial Stability Board|['https://www.ft.com/content/7d309f94-3618-4511-9778-d1447799c5e4']
46160|1|0|1|0|0|0|0|0|US strikes kill ‘more than 20’ Isis militants in Nigeria|Attack comes shortly after killing of group’s second-in-command as Washington steps up West Africa military action|['https://www.ft.com/content/39c5e4d0-e9a8-4c76-977c-baa4319b5818']
46160|1|0|1|0|0|0|0|0|A peaceable Trump-Xi meeting may set up follies for the future|The system of managed trade towards which the US and China seem to be moving is unlikely to work well|['https://www.ft.com/content/92d0f0ca-285f-4309-806b-e09d1a9362a5']
46160|3|1|1|0|0|0|0|1|NextEra strikes megadeal with Dominion to create $420bn US utility|Tie-up would create power behemoth at a time of booming demand for electricity for AI data centres|['https://www.ft.com/content/a17f615a-cf05-4079-92a8-a8ab6370ae98']
46160|2|1|1|0|0|0|0|0|NextEra bets there’s no such thing as having too much power|There are few obvious areas of overlap between Dominion Energy and its Florida rival|['https://www.ft.com/content/b7d39e2e-ab17-4b9a-9cda-9c778487f8a7']
46160|1|0|1|0|0|0|0|0|UK prepares multibillion-pound boost for joint stealth jet project|The estimated £6bn funding would allow Britain, Italy and Japan to agree a long-term contract for the programme|['https://www.ft.com/content/7c9cfe0e-7ac9-457c-b111-b9f7bfea9a74']
46160|2|1|0|0|0|0|0|1|Musk loses case against OpenAI after two hours of jury deliberations|Decision hands a legal victory to Sam Altman in a case that had overshadowed the AI lab’s plans to go public|['https://www.ft.com/content/cfc4de0d-0c45-42ee-843d-c2abf7638733']
46160|1|1|0|0|0|0|0|0|Mortgage costs rise sharply on Middle East conflict|Home loans have become more expensive in North America and Europe despite central banks keeping rates on hold|['https://www.ft.com/content/5e7f4da1-6cb4-44d8-9bce-4ddad53c7fd1']
46160|1|0|1|0|0|0|0|0|US drops fraud charges against Asia’s richest person|Conglomerate owned by Asia’s richest person had earlier agreed to pay $275mn to settle separate US sanctions violation probe|['https://www.ft.com/content/434fe893-570f-4449-9806-008807feb0a2']
46160|4|1|1|1|1|0|0|0|US eases Russian oil sanctions in bid to contain Iran price surge|Renewal of 30-day licence comes as high fuel costs hit American consumers|['https://www.ft.com/content/df5fca22-d057-444f-b430-32623b196d00']
46160|1|0|1|0|0|0|0|0|Keir Starmer vows to fight on ahead of Burnham by-election|Prime minister repeats desire to contest next general election|['https://www.ft.com/content/2383fb29-ab65-4e87-934e-b201a0336f0b']
46160|1|0|1|0|0|0|0|0|UK ministers considered abandoning HS2 amid spiralling costs|Analysis earlier this year concluded that decommissioning the scheme could cost as much as continuing to build the railway|['https://www.ft.com/content/fceea98d-4185-4402-aa5c-be8fb04d1279']
46160|1|0|0|0|1|0|0|0|Jim Ratcliffe’s Ineos makes €200mn bet on chemical sector peers|Group invests in basket of company equities and tells bondholders the sector is ‘undervalued’|['https://www.ft.com/content/978bda91-9215-45f8-861f-5c616cddfa4b']
46160|2|0|0|1|1|0|0|0|Iran war hits Americans with $40bn fuel bill|Extra spending on petrol and diesel exceeds cost of repairing country’s bridges or rebooting air traffic control|['https://www.ft.com/content/32ff9d8d-0103-42f8-8a78-10e2216b8fe2']
46160|2|1|1|0|0|0|0|0|Trump administration creates $1.8bn fund for victims of government ‘lawfare’|Settlement deal comes after US president and family drop $10bn IRS lawsuit over tax returns leak|['https://www.ft.com/content/9a0d6eee-8c63-4299-97ea-f9cccbad5566']
46160|2|0|0|1|1|0|0|0|Investment firms look beyond Iran war to expand in Middle East|Asset managers and hedge funds say they remain committed to the region despite the current disruption|['https://www.ft.com/content/d4dd2412-57f9-4973-81e1-c637e148f8d6']
46160|2|0|1|0|0|0|0|1|Uber leaves door open to Delivery Hero takeover by increasing stake|US group becomes largest shareholder in German company amid consolidation across food delivery sector|['https://www.ft.com/content/668d44f5-f6d4-4992-be45-223a045a9941']
46160|1|0|1|0|0|0|0|0|How Trump became political kryptonite|The president’s ‘populist war’ in Iran is dooming his allies and leaders who sought his favour|['https://www.ft.com/content/4ecb3d54-2851-48b8-bd11-c3128dcbcca0']
46160|1|0|0|0|0|0|0|1|Fears of Samsung strike ease after court ruling|Shares rise after injunction restricts unions’ ability to halt production at South Korean chipmaker|['https://www.ft.com/content/8e708b02-96cf-44be-8ac0-d1b6022bff11']
46160|1|0|0|0|1|0|0|0|European oil refiners and airlines have ‘almost zero’ jet fuel shortage concerns|Refiners maximise production and increase imports from US and Africa to offset loss of Middle Eastern supplies|['https://www.ft.com/content/ceaaff8e-719f-4fa6-b64f-491c05fb2fcc']
46160|2|0|1|0|1|0|0|0|UK plans to relax key banking rules set up after 2008 financial crisis|Chief secretary to the Treasury says softening ringfencing regulations would free up £80bn for extra lending|['https://www.ft.com/content/81f0698c-07d7-4d9d-9f01-0e7d0d7e0461']
46160|2|1|0|0|1|0|0|0|UBS: the bank that outgrew a country|Can a state with 9mn people host a financial behemoth?|['https://www.ft.com/content/19e68223-1b35-41e7-b1f2-2633f9d618db']
46160|1|1|0|0|0|0|0|0|Trump and Xi will not determine Taiwan’s fate|China assumes that the island would be helpless without American support — that is a dangerous mistake|['https://www.ft.com/content/d072db90-5167-420b-a9b2-11e84c7c5c77']
46160|2|0|0|0|1|0|1|0|Bonds bad|Plus, stocks bad|['https://www.ft.com/content/73039afd-a0b4-4ce7-9875-40b1fb312073']
46160|1|0|0|1|0|0|0|0|Are we at the tipping point for global energy supplies?|Nearly 80 countries have introduced emergency measures as oil stockpiles run low|['https://www.ft.com/content/b0283843-21e6-42e2-bc71-b98cacf107f7']
46160|1|0|0|0|0|0|0|1|Business schools move beyond the basics to teach collaboration with AI|Executive education increasingly focuses on decision-making amid shifting technological capabilities|['https://www.ft.com/content/b90ab9aa-a5cc-4f2d-8f28-30fbec4b3984']
46160|1|0|0|0|1|0|0|0|Defence groups clamour to delay US ban on Chinese rare earth magnets|Military contractors want more time to comply with prohibition years in the making and now just months away|['https://www.ft.com/content/4d6651e1-17ff-4a72-b30b-065322cd58d0']
46160|1|0|1|0|0|0|0|0|Commerzbank rejects €39bn UniCredit takeover offer|Proposal draws pushback from German lender and Chancellor Friedrich Merz|['https://www.ft.com/content/7f1660c4-e99e-4520-b1ce-d27bbf51e488']
46160|5|1|1|0|1|1|1|0|Citi strikes €15bn partnership with BlackRock for private European lending|Deal aims to give bank added firepower to finance private equity dealmaking in Europe and Middle East|['https://www.ft.com/content/65602a81-ee5b-4b65-803d-a7570fb5d5c8']
46160|2|0|0|0|1|0|1|0|Bonds extend sell-off on inflation fears|US and Japanese yields rise amid investor concern over surge in energy prices|['https://www.ft.com/content/1a33355b-b080-49f6-88e1-e613843a8af0']
46160|1|0|1|0|0|0|0|0|Burnham vows to reverse privatisation and austerity if he replaces Starmer|Greater Manchester mayor also insists he will not rip up the UK’s fiscal rules|['https://www.ft.com/content/692bdf31-1cd1-4c63-9c69-60f2e3b5b398']
46160|1|0|1|0|0|0|0|0|Baseball is learning to live with shorter attention spans|New rules have made games faster and more exciting|['https://www.ft.com/content/f499089d-a104-44ad-9773-1ef31715afae']
46160|1|0|1|0|0|0|0|0|US-China summit: postgame analysis|Little was ventured, little was gained — but the visuals were interesting|['https://www.ft.com/content/b3848645-19d3-4b7a-abfa-657c8d79b164']
46160|1|0|0|0|0|0|0|1|Sweeping the strait: the companies gearing up to clear the Gulf of mines|New generation of uncrewed vessels could help restore traffic in vital shipping route|['https://www.ft.com/content/1a71f5cf-504c-4e28-af26-29d464634cd2']
46160|1|0|1|0|0|0|0|0|Farage’s accounts challenge claim he paid for £1.4mn house with TV fee|Reform UK leader has said he did not use £5mn gift from crypto billionaire to buy Surrey property|['https://www.ft.com/content/88ce53de-8994-47b1-86ec-4c49b6b9cb50']
46160|3|1|1|1|0|0|0|0|Trump says he called off attack on Iran planned for Tuesday|US president says the UAE, Saudi Arabia and Qatar requested that Washington suspend operation|['https://www.ft.com/content/5cce5b90-a84d-4d4f-b271-de7940ac92c3']
46160|2|0|0|0|1|0|0|1|The fate of OpenAI’s $1tn IPO will be decided in an Oakland jury room|Elon Musk’s legal challenge could derail the AI start-up’s commercial ambitions|['https://www.ft.com/content/846479c8-4ab0-4812-a1d5-08abdd8b952b']
46160|1|0|1|0|0|0|0|0|The cracks in the Putin edifice|Russian leader’s conviction that he could outlast the west is being tested|['https://www.ft.com/content/7cc7357b-446d-4cbe-9438-f505dd457c3d']
46160|1|0|0|0|1|0|0|0|The battle the US is winning against China|It is a stunted financial power, leaving the US free to rule global markets|['https://www.ft.com/content/6228616c-0231-4926-ac1b-7125759c34a7']
46160|2|0|1|0|0|0|0|1|The UK must embrace its libraries in the age of AI|As stewards of vast quantities of data, the sector could play a critical role in fuelling the digital economy|['https://www.ft.com/content/fea28150-fef4-460d-a83a-3e77fa4a2a56']
46160|2|0|0|0|1|0|1|0|The Italianisation of Britain’s finances|Investors have watched UK political flip-flopping and budgetary shortfalls with alarm|['https://www.ft.com/content/fa96e027-6727-484b-895b-c1f193b0ce35']
46160|1|0|1|0|0|0|0|0|The Bank of England’s oil shock modelling has gone awry|Assumptions used by the bank in August 2025 make no sense when applied to its April 2026 data|['https://www.ft.com/content/1e57f004-6af0-4e50-b162-981fd9ab2338']
46159|2|1|1|0|0|0|0|0|EU plan to slash steel imports will hurt Ukraine, officials warn|Brussels’ proposed quota reduction could cost Kyiv up to €1bn in lost export revenue|['https://www.ft.com/content/501e3207-4a9e-4edb-9a80-812cbfbd4f46']
46159|1|0|1|0|0|0|0|0|Burnham plays down rejoining EU after Streeting advocates Brexit reversal|Contender to be next Labour leader also commits to Rachel Reeves’ fiscal rules in an effort to reassure markets|['https://www.ft.com/content/6338ad6f-cf26-44c6-96e4-c64f1db615dd']
46159|4|1|1|1|1|0|0|0|Iran energy crisis enters new phase as peak summer season approaches|Emergency measures spread as oil stockpiles run low|['https://www.ft.com/content/f636f726-b185-4f6a-91d2-75ea3d1b9beb']
46159|2|1|0|0|0|0|0|1|Publicis to buy US data company in $2.2bn deal as it deepens AI marketing push|French advertising group to purchase LiveRamp and enhance its focus on disruptive technology|['https://www.ft.com/content/fa33f1b3-ea8b-474b-9f75-a70536c8d2cb']
46159|1|0|1|0|0|0|0|0|Is the Fed turning hawkish as inflation fears rise?|Market Questions is the FT’s guide to the week ahead|['https://www.ft.com/content/e92afb1c-6abc-4883-b268-98b91c1a9679']
46159|3|0|1|0|1|1|0|0|Bain Capital closes largest Asia fund after raising $10.5bn|Buyout firm raised $2.1bn more from external investors than had been targeted|['https://www.ft.com/content/cf65b157-6a10-4525-851b-508333ee94d0']
46159|1|1|0|0|0|0|0|0|White House says Trump and Xi agreed on ‘board of trade’ at summit|US and China signed off on measures to promote ‘stability’ in the midst of their trade war|['https://www.ft.com/content/aed42b42-0ca2-4104-848a-c8bca33fd837']
